ticker,10日平均売買代金,10日中央値売買代金,除外,銘柄名,市場・商品区分,33業種区分
9223.T,12529580.0,4760500.0,True,ＡＳＮＯＶＡ,グロース（内国株式）,サービス業
9225.T,1363830.0,1068600.0,True,ブリッジコンサルティンググループ,グロース（内国株式）,サービス業
9227.T,108177620.0,90459300.0,True,マイクロ波化学,グロース（内国株式）,サービス業
9229.T,13267820.0,10884750.0,True,サンウェルズ,プライム（内国株式）,サービス業
9233.T,9438390.0,8401000.0,True,アジア航測,スタンダード（内国株式）,空運業
9235.T,40893980.0,31211400.0,True,売れるネット広告社グループ,グロース（内国株式）,サービス業
9236.T,8210020.0,6413950.0,True,ジャパンＭ＆Ａソリューション,グロース（内国株式）,サービス業
9237.T,36292840.0,14233650.0,True,笑美面,グロース（内国株式）,サービス業
9238.T,2072600.0,1851350.0,True,バリュークリエーション,グロース（内国株式）,サービス業
9240.T,17110870.0,8725050.0,True,デリバリーコンサルティング,グロース（内国株式）,サービス業
9241.T,1550250.0,959450.0,True,フューチャーリンクネットワーク,グロース（内国株式）,サービス業
9242.T,5222320.0,3659050.0,True,メディア総研,グロース（内国株式）,サービス業
9244.T,8886270.0,7899250.0,True,デジタリフト,グロース（内国株式）,サービス業
9245.T,7230350.0,7340300.0,True,リベロ,グロース（内国株式）,サービス業
9246.T,1383490.0,1656000.0,True,プロジェクトホールディングス,グロース（内国株式）,サービス業
9247.T,387935600.0,380188500.0,False,ＴＲＥホールディングス,プライム（内国株式）,サービス業
9248.T,62324520.0,34420250.0,True,人・夢・技術グループ,スタンダード（内国株式）,サービス業
9249.T,9831340.0,8282400.0,True,日本エコシステム,スタンダード（内国株式）,サービス業
9250.T,906450.0,451800.0,True,ＧＲＣＳ,グロース（内国株式）,サービス業
9251.T,89373100.0,77849500.0,True,ＡＢ＆Ｃｏｍｐａｎｙ,グロース（内国株式）,サービス業
9252.T,50528250.0,42085500.0,True,ラストワンマイル,グロース（内国株式）,サービス業
9253.T,948490.0,259050.0,True,スローガン,グロース（内国株式）,サービス業
9254.T,1029800.0,717250.0,True,ラバブルマーケティンググループ,グロース（内国株式）,サービス業
9256.T,22851150.0,22923700.0,True,サクシード,グロース（内国株式）,サービス業
9258.T,645180.0,589000.0,True,ＣＳ－Ｃ,グロース（内国株式）,サービス業
9259.T,6942530.0,5647950.0,True,タカヨシホールディングス,グロース（内国株式）,サービス業
9262.T,15922560.0,11080250.0,True,シルバーライフ,スタンダード（内国株式）,小売業
9264.T,18231940.0,18696800.0,True,ポエック,スタンダード（内国株式）,卸売業
9265.T,16460700.0,2372250.0,True,ヤマシタヘルスケアホールディングス,スタンダード（内国株式）,卸売業
9267.T,211806050.0,195052250.0,False,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,プライム（内国株式）,小売業
9268.T,68706510.0,57147100.0,True,オプティマスグループ,スタンダード（内国株式）,卸売業
9270.T,73178690.0,64328450.0,True,バリュエンスホールディングス,グロース（内国株式）,卸売業
9271.T,8836730.0,8192100.0,True,和心,グロース（内国株式）,小売業
9272.T,9897760.0,6944100.0,True,ブティックス,グロース（内国株式）,サービス業
9273.T,35064290.0,31165500.0,True,コーア商事ホールディングス,プライム（内国株式）,卸売業
9274.T,370479190.0,344989450.0,False,ＫＰＰグループホールディングス,プライム（内国株式）,卸売業
9278.T,272041460.0,252646950.0,False,ブックオフグループホールディングス,プライム（内国株式）,小売業
9279.T,723307340.0,700565400.0,False,ギフトホールディングス,プライム（内国株式）,小売業
9301.T,1353214250.0,1241734500.0,False,三菱倉庫,プライム（内国株式）,倉庫・運輸関連業
9302.T,843703480.0,666795900.0,False,三井倉庫ホールディングス,プライム（内国株式）,倉庫・運輸関連業
9303.T,373578050.0,324918500.0,False,住友倉庫,プライム（内国株式）,倉庫・運輸関連業
9304.T,301648050.0,231866200.0,False,澁澤倉庫,プライム（内国株式）,倉庫・運輸関連業
9305.T,107820840.0,102016500.0,False,ヤマタネ,プライム（内国株式）,卸売業
9306.T,6878530.0,6426500.0,True,東陽倉庫,スタンダード（内国株式）,倉庫・運輸関連業
9307.T,4733110.0,5599650.0,True,杉村倉庫,スタンダード（内国株式）,倉庫・運輸関連業
9308.T,343256330.0,212458500.0,False,乾汽船,スタンダード（内国株式）,海運業
9310.T,125086920.0,120006800.0,False,日本トランスシティ,プライム（内国株式）,倉庫・運輸関連業
9311.T,2062200.0,0.0,True,アサガミ,スタンダード（内国株式）,倉庫・運輸関連業
9312.T,15455620.0,13051100.0,True,ケイヒン,スタンダード（内国株式）,倉庫・運輸関連業
9313.T,1941840.0,1285200.0,True,丸八倉庫,スタンダード（内国株式）,倉庫・運輸関連業
9319.T,37891700.0,38021850.0,True,中央倉庫,プライム（内国株式）,倉庫・運輸関連業
9322.T,29743840.0,17913750.0,True,川西倉庫,スタンダード（内国株式）,倉庫・運輸関連業
9324.T,230285400.0,177603150.0,False,安田倉庫,プライム（内国株式）,倉庫・運輸関連業
9325.T,8902430.0,8851050.0,True,ファイズホールディングス,スタンダード（内国株式）,倉庫・運輸関連業
9326.T,4429890.0,3827750.0,True,関通ホールディングス,グロース（内国株式）,倉庫・運輸関連業
9327.T,3042010.0,989050.0,True,イー・ロジット,スタンダード（内国株式）,倉庫・運輸関連業
9330.T,1729790.0,1335000.0,True,揚羽,グロース（内国株式）,サービス業
9331.T,469230.0,216450.0,True,キャスター,グロース（内国株式）,サービス業
9332.T,85410830.0,50948050.0,True,ＮＩＳＳＯホールディングス,プライム（内国株式）,サービス業
9336.T,391497400.0,383360500.0,False,大栄環境,プライム（内国株式）,サービス業
9337.T,14351650.0,16458150.0,True,トリドリ,グロース（内国株式）,サービス業
9339.T,1561420.0,1367000.0,True,コーチ・エィ,スタンダード（内国株式）,サービス業
9340.T,12339630.0,8685950.0,True,アソインターナショナル,スタンダード（内国株式）,サービス業
9341.T,38759450.0,34548600.0,True,ＧＥＮＯＶＡ,プライム（内国株式）,サービス業
9342.T,1241280.0,1185000.0,True,スマサポ,グロース（内国株式）,サービス業
9343.T,30617460.0,30235150.0,True,アイビス,グロース（内国株式）,サービス業
9344.T,16331920.0,9767000.0,True,アクシスコンサルティング,グロース（内国株式）,サービス業
9345.T,650660.0,444150.0,True,ビズメイツ,グロース（内国株式）,サービス業
9346.T,7878970.0,4797050.0,True,ココルポート,グロース（内国株式）,サービス業
9347.T,348413850.0,344802900.0,False,日本管財ホールディングス,プライム（内国株式）,サービス業
9348.T,186183500.0,181243000.0,False,ｉｓｐａｃｅ,グロース（内国株式）,サービス業
9351.T,5448130.0,4536900.0,True,東洋埠頭,スタンダード（内国株式）,倉庫・運輸関連業
9353.T,1048410.0,1193200.0,True,櫻島埠頭,スタンダード（内国株式）,倉庫・運輸関連業
9355.T,1032890.0,767500.0,True,リンコーコーポレーション,スタンダード（内国株式）,倉庫・運輸関連業
9360.T,1880790.0,1518500.0,True,鈴与シンワート,スタンダード（内国株式）,情報・通信業
9361.T,141430.0,0.0,True,伏木海陸運送,スタンダード（内国株式）,倉庫・運輸関連業
9362.T,1239900.0,561500.0,True,兵機海運,スタンダード（内国株式）,倉庫・運輸関連業
9363.T,2993080.0,2537850.0,True,大運,スタンダード（内国株式）,倉庫・運輸関連業
9364.T,1529662240.0,1298332250.0,False,上組,プライム（内国株式）,倉庫・運輸関連業
9365.T,688830.0,491100.0,True,トレーディア,スタンダード（内国株式）,倉庫・運輸関連業
9366.T,14037570.0,8781850.0,True,サンリツ,スタンダード（内国株式）,倉庫・運輸関連業
