ticker,relative_strength,銘柄名,33業種区分
4440.T,1.2107684116222786,ヴィッツ,情報・通信業
4052.T,0.9183732150292674,フィーチャ,情報・通信業
6191.T,0.7562288555342394,エアトリ,サービス業
593A.T,0.7003513975719806,ティアフォー,情報・通信業
336A.T,0.656752929974799,ダイナミックマッププラットフォーム,情報・通信業
4588.T,0.6243631714542306,オンコリスバイオファーマ,医薬品
8848.T,0.6012343423639754,レオパレス２１,不動産業
6862.T,0.5987122966652176,ミナトホールディングス,電気機器
4075.T,0.5925411519147465,ブレインズテクノロジー,情報・通信業
4667.T,0.5766317628572917,アイサンテクノロジー,情報・通信業
3692.T,0.5675565063480907,ＦＦＲＩセキュリティ,情報・通信業
6203.T,0.5669097125242197,豊和工業,機械
1783.T,0.49701836130070354,ｆａｎｔａｓｉｓｔａ,不動産業
278A.T,0.4845449907119235,Ｔｅｒｒａ　Ｄｒｏｎｅ,精密機器
7743.T,0.47183300625981084,シード,精密機器
338A.T,0.46507514923326787,ＺｅｎｍｕＴｅｃｈ,情報・通信業
7475.T,0.4638641031282311,アルビス,小売業
3653.T,0.4538327493250427,モルフォ,情報・通信業
2737.T,0.43623384849060454,トーメンデバイス,卸売業
520A.T,0.42755502040879123,ジェイファーマ,医薬品
2962.T,0.4227117155654865,テクニスコ,金属製品
7826.T,0.3880118844584697,フルヤ金属,その他製品
8387.T,0.387116394471676,四国銀行,銀行業
6787.T,0.38599364660826163,メイコー,電気機器
604A.T,0.3762684887337304,ビーエイブル,建設業
5301.T,0.37354959160021295,東海カーボン,ガラス・土石製品
4840.T,0.3622655432059567,トライアイズ,サービス業
3131.T,0.3481156495310642,シンデン・ハイテックス,卸売業
8344.T,0.32643692117748446,山形銀行,銀行業
6946.T,0.3159051887589597,日本アビオニクス,電気機器
6998.T,0.30774451222619015,日本タングステン,電気機器
3156.T,0.3047576164991104,レスター,卸売業
7709.T,0.28411157696534795,クボテック,精密機器
6440.T,0.28073874600631,ＪＵＫＩ,機械
7384.T,0.2736714225251935,プロクレアホールディングス,銀行業
3652.T,0.27025909572156226,ディジタルメディアプロフェッショナル,情報・通信業
5892.T,0.26095365834143425,ｙｕｔｏｒｉ,小売業
4258.T,0.2607868824077766,網屋,情報・通信業
8345.T,0.25458575808061057,岩手銀行,銀行業
8995.T,0.2504153159374807,誠建設工業,不動産業
